name,actual price,current price,rating,reviews
Sparx Neo 8,"Rs  29,499","Rs  21,399",,
Sparx Neo 7 Plus,"Rs  22,999","Rs  18,899",4.7,33
Xiaomi Redmi 10A,"Rs  29,999","Rs  20,499",4.9,245
Nokia 105 2023,"Rs  4,999","Rs  4,099",4.8,85
ZTE Blade V60 Smart,"Rs  25,999","Rs  23,999",3.0,1
Xiaomi Redmi A3,"Rs  23,999","Rs  19,899",4.8,279
GFive 6700 4G (2024),"Rs  8,000","Rs  6,299",4.8,29
Itel It2165,,"Rs  2,349",4.8,15
Itel A50,"Rs  19,999","Rs  16,999",5.0,3
Vivo Y03t,"Rs  27,999","Rs  25,100",5.0,5
Samsung Galaxy A25,"Rs  98,500","Rs  70,999",4.7,19
Vgotel Flex 2,"Rs  14,150","Rs  13,399",,
Sparx Neo 7 Ultra,"Rs  27,499","Rs  22,899",4.8,168
Infinix Hot 50 Pro,"Rs  44,999","Rs  42,499",4.9,7
GFive 16 Pro Max,"Rs  5,999","Rs  4,599",,
Samsung Galaxy A06,"Rs  26,999","Rs  22,999",5.0,19
Infinix Smart 7 HD,"Rs  18,999","Rs  17,499",4.9,84
Realme 12+ 5G,"Rs  79,999","Rs  72,500",4.8,28
Vivo Y28,"Rs  46,999","Rs  40,099",4.9,12
Itel it2166,,"Rs  2,649",4.9,36
Infinix Smart 9 HD,"Rs  25,999","Rs  23,999",,
Itel P40 4G,"Rs  21,999","Rs  18,799",4.8,52
Sparx Note 12,"Rs  27,499","Rs  24,299",3.3,3
Xiaomi Redmi 14C,"Rs  29,999","Rs  26,999",4.7,24
Tecno Camon 30S,"Rs  59,999","Rs  52,999",5.0,4
Digit 4G Energy Max,"Rs  9,999","Rs  8,399",4.9,24
Xiaomi Redmi 13C,"Rs  31,999","Rs  29,999",4.9,747
Calme Hero 4G,"Rs  10,199","Rs  7,399",4.8,52
ZTE Blade A35,"Rs  18,999","Rs  17,899",5.0,1
Infinix Hot 50 Pro Plus,"Rs  59,499","Rs  58,999",5.0,5
Sparx Neo 11,"Rs  25,499","Rs  19,899",5.0,7
Honor X7b,"Rs  59,999","Rs  47,399",4.9,7
ZTE Nubia V60 Design,"Rs  30,999","Rs  26,899",4.7,17
Infinix Hot 50,"Rs  39,999","Rs  37,899",5.0,3
