name,actual price,current price,rating,reviews
FASTER Z10 PRO SOUNDBAR WIRELESS SPEAKER 20W,"Rs  8,000","Rs  5,499",4.8,5
Audionic Optima Sound Bar,"Rs  10,999","Rs  5,029",4.8,5
Airox S003 Bluetooth Speaker,"Rs  1,500",Rs  899,4.5,2
JBL M3 Mini Wireless Bluetooth Speaker,"Rs  1,400",Rs  859,4.9,76
Faster Rainbow 7 Powerful Bass Wireless Speaker With Mic 20w,"Rs  8,000","Rs  5,799",5.0,2
Audionic Milan Mobile Speaker,"Rs  2,400","Rs  1,199",5.0,2
Astronaut Galaxy Projector Light with Bluetooth Speaker,"Rs  4,000","Rs  3,099",,
Audionic Rome Mobile Speaker,"Rs  1,650","Rs  1,190",5.0,1
Airox SP06 Portable Bluetooth Speaker,"Rs  4,800","Rs  1,899",,
FASTER ECHO GO 3 BLUETOOTH SPEAKER,"Rs  5,000","Rs  4,199",5.0,1
G36 G-Shaped LED Lamp Wireless Speaker With Digital Clock,"Rs  3,000","Rs  1,799",,
Audionic Lava Bluetooth Speaker,"Rs  2,799","Rs  1,499",,
Audionic Akasaki Bluetooth Speaker,"Rs  2,450","Rs  1,449",4.8,8
Audionic Max-290 2.1 Bluetooth Speaker,"Rs  10,999","Rs  5,399",2.0,1
Audionic Solo X50 Bluetooth Speaker,"Rs  10,000","Rs  6,199",4.0,1
Anker Soundcore Glow Mini Portable Speaker,"Rs  17,000","Rs  10,999",,
SH-309 Mini Wireless Colorful RGB Light Bluetooth Speaker,"Rs  2,000","Rs  1,299",,
A8 Woofer Speaker Multimedia Speaker Usb Plugin For Indoor,"Rs  2,250","Rs  1,549",,
Sound Crush M7 Bluetooth Speaker,"Rs  6,000","Rs  3,999",4.7,6
Audionic Solo X85 Bluetooth Speaker,"Rs  30,999","Rs  20,999",,
G shaped Lamp - Bluetooth Speaker- Wireless Charger & Digital Clock,"Rs  4,000","Rs  2,749",3.5,2
Sound Crush Bzoom Bluetooth Speaker,"Rs  7,000","Rs  4,599",4.7,3
Audionic Yoyo Bluetooth Speaker,"Rs  2,700","Rs  1,499",5.0,3
Mi Portable Bluetooth Speaker,"Rs  6,699","Rs  6,299",5.0,8
Mi Smart Speaker (AudioEFX),"Rs  15,000","Rs  13,399",,
FASTER Z5 12W SOUNDBAR,"Rs  4,500","Rs  4,299",,
Sound Crush Aurelia Lightning Bluetooth Speaker,"Rs  4,000","Rs  1,899",,
GTS-1869 4 Inch Bluetooth Speaker With 3 LED Light Bars With Mic,"Rs  3,500","Rs  1,999",,
HI SINGING SOUNDPEATS KARAOKE SPEAKER,"Rs  15,000","Rs  6,399",,
Audionic MH-801 Bluetooth Speaker,"Rs  14,900","Rs  9,199",,
Xiaomi Sound Outdoor 30W Bluetooth Speaker,"Rs  14,999","Rs  12,799",5.0,1
Audionic Prism 800 Soundbar with Woofer,"Rs  61,800","Rs  33,999",,
Xiaomi Sound Pocket 5W Bluetooth Speaker,"Rs  4,999","Rs  4,599",5.0,3
Tronsmart T6 Max Bluetooth Speaker,"Rs  35,000","Rs  26,449",,
Karaoke Y1 Portable Bluetooth Children's Speaker,"Rs  3,000","Rs  2,299",,
XO F38 Thor Wireless Bluetooth Portable Speaker,"Rs  4,000","Rs  3,199",,
Audionic Prism 500 Soundbar with Woofer,"Rs  50,900","Rs  27,999",,
Joyroom Transparent Bluetooth Wireless Speaker (JR-ML03),"Rs  4,000","Rs  3,599",,
Mic With Children's Speaker,"Rs  2,500","Rs  1,399",4.0,1
Galaxy Projector Light With Built-In Bluetooth Speaker,"Rs  4,000","Rs  2,999",,
K08 Transparent Speaker Wireless Desktop Colorful Speaker,"Rs  2,000","Rs  1,399",,
Audionic Roko Bluetooth Speaker,"Rs  4,599","Rs  2,299",,
Audionic Sugar 8+ Speaker with Torch,"Rs  2,650","Rs  1,799",,
Sound Crush Tank Bass Bluetooth Speaker,"Rs  4,000","Rs  1,899",5.0,4
K12 Speaker Portable Bluetooth Children's Speaker (With Mic),"Rs  4,000","Rs  1,999",,
GTS-2008 Karaoke Speaker With Mics,"Rs  3,000","Rs  1,799",,
Airox SP05 Portable Bluetooth Speaker,"Rs  3,500","Rs  1,299",,
Audionic Elite 1000 Sound Bar with Woofer,"Rs  69,000","Rs  37,999",,
MI SMART SPEAKER (IR CONTROL),"Rs  10,500","Rs  9,199",,
JBL Clip 4 Portable Speaker,"Rs  17,000","Rs  14,299",,
Tronsmart Nimo Portable Mini Speaker,"Rs  10,000","Rs  5,249",,
Anker Soundcore Pyro Mini Bluetooth Speaker,"Rs  14,000","Rs  6,599",,
Mars S-841 Bluetooth Speaker,"Rs  4,000","Rs  2,199",,
W-KING K6L 120W Large Retro Party Karaoke Wireless Bluetooth Speaker With Mic,"Rs  110,000","Rs  105,499",,
Tronsmart T7 Lite Portable Outdoor Speaker,"Rs  19,999","Rs  9,999",,
Lenovo K3 Plus RGB Wireless Bluetooth Speaker,"Rs  4,000","Rs  2,399",,
Anker Soundcore Motion 100 Portable Bluetooth Wireless Speaker,"Rs  25,000","Rs  20,699",,
Extra Bass Bluetooth Wireless Speaker (GTS-1523),"Rs  2,499","Rs  1,499",,
L-5050 Woofer Speaker Multimedia Speaker Usb Plugin For Indoor,"Rs  2,250","Rs  1,549",,
GTS-2150 RGB 360 Wireless Speaker,"Rs  2,000","Rs  1,099",,
MAXON PORTABLE  BLUETOOTH SPEAKER X-1,"Rs  2,999","Rs  1,999",,
1Hora Bocina Bluetooth Speaker BOC241N,"Rs  6,499","Rs  4,249",,
W-king D120 True Wireless Bluetooth Speaker With Powerful Sound & Super Heavy Bass,"Rs  15,000","Rs  11,499",,
JBL Wind 3 Portable Bluetooth Speaker,"Rs  17,000","Rs  13,199",,
Tronsmart Element Bluetooth speaker (T6 Mini),"Rs  7,000","Rs  5,099",5.0,1
Joyroom Bluetooth Speaker Maya Series JR-MS02,"Rs  13,000","Rs  12,199",,
Anker PowerConf Bluetooth Speakerphone,"Rs  30,000","Rs  27,499",,
K12 Speaker Portable Bluetooth Children's Speaker (Without Mic),"Rs  4,000","Rs  1,499",,
T3 Children Karaoke Microphone Speaker,"Rs  3,500","Rs  1,999",,
MK-308 Mini Subwoofer Speaker,"Rs  2,500","Rs  1,199",,
GTS-1945 Mini Wireless Speaker,"Rs  2,000","Rs  1,199",,
GTS-2166 Wireless Speaker,"Rs  1,800","Rs  1,099",,
Airox SP04 Portable Bluetooth Speaker,"Rs  5,000","Rs  2,199",,
itel Bluetooth Speaker (S51),"Rs  4,499","Rs  3,799",5.0,1
W-King T8 30W Outdoor Traveler Portable Wireless Bluetooth Speaker With Subwoofer,"Rs  30,000","Rs  26,499",,
LM-890 Mini Audio Sound Bar Subwoofer Portable Speaker,"Rs  4,500","Rs  2,499",,
LM-891 Wireless Bluetooth Speaker Long Bar Subwoofer,"Rs  4,500","Rs  2,499",,
X1 Mini Outdoor Portable Speaker,"Rs  2,000","Rs  1,199",,
KTS 1943 Wireless Speaker With Mic,"Rs  2,800","Rs  1,699",,
KTS-1678 Mini Wireless Speaker,"Rs  2,000","Rs  1,099",,
GTS-1867 Mini Portable 3-Inch Wireless Speaker,"Rs  1,800","Rs  1,099",,
WS858L Wireless Speaker Mic With lights,"Rs  2,000","Rs  1,199",,
itel Sound Super Star (ITL-311K),"Rs  5,999","Rs  4,899",,
Tronsmart Bang SE Portable Bluetooth Speaker,"Rs  29,000","Rs  17,999",,
Joyroom RGB Wireless Speaker (JR-ML05),"Rs  6,500","Rs  5,699",,
W-KING D8 50W Wireless Bluetooth Speaker,"Rs  29,000","Rs  25,499",,
Super Bass W-KING D320 New True 30W Outdoor Wireless Bluetooth Speakers TWS,"Rs  28,000","Rs  24,499",,
Faster RGB Lighting Dual Gaming Wireless Speakers (G2000),"Rs  7,000","Rs  4,999",5.0,1
FASTER Rainbow 4s Portable Wireless Speaker 10w,"Rs  5,999","Rs  5,399",,
Sony Portable Speaker SRS-XB13,"Rs  26,000","Rs  18,499",,
Sound Crush TRIG Lightning Bluetooth Speaker,"Rs  6,500","Rs  3,499",5.0,1
Sound Crush Macaron Bluetooth Speaker,"Rs  4,000","Rs  1,899",,
ZQS301B Multi-Function Flashlight RGB Light Bluetooth Speaker,"Rs  2,000","Rs  1,349",,
Infinix XS01 Pocket Beat Wireless Bluetooth Speaker,"Rs  5,000","Rs  2,699",,
W-KING D8 Mini 30W Portable Speaker,"Rs  20,000","Rs  16,499",,
JDH-126 Solar Wireless Bluetooth Speaker With Flashlight,"Rs  2,500","Rs  1,349",,
Yolo Play 2 YJP-202 Bluetooth Wireless Speaker,,"Rs  1,349",5.0,2
GTS Wireless Bluetooth Speaker (1348),,"Rs  1,299",,
Portable Bluetooth Wireless Speaker (GTS-1205),,"Rs  2,849",5.0,1
NB-101 Tyre shape high sound quality Bluetooth speaker with Tyre Style,"Rs  3,000","Rs  1,899",,
New 4th generation L20 wireless fashion speaker,"Rs  6,000","Rs  4,299",,
Urbano Bluetooth speaker,"Rs  4,000","Rs  2,599",,
L-002 BASS ROUGE Wireless Speaker,"Rs  2,000","Rs  1,299",,
Yolo Play YJP-201 Bluetooth Wireless Speaker,,"Rs  1,399",4.7,9
GTS Wireless Bluetooth Speaker (1347),,"Rs  1,299",,
Zidli D3 LED RGB Bluetooth Speaker,"Rs  5,000","Rs  3,799",,
G2389 Wheel Mini Portable Wireless speaker,"Rs  3,000","Rs  2,299",,
Yolo Pulse Bluetooth Speaker,,"Rs  2,699",4.8,29
Smart Touch Lamp Portable Speaker (CL-671),,"Rs  1,249",5.0,2
Portable Bluetooth Wireless Speaker (KTS-1251),,"Rs  2,399",,
Y1 mini  Speaker Portable Bluetooth without Mic Children's Speaker,"Rs  2,000","Rs  1,499",,
Tronsmart Groove 2 Bluetooth Speaker,"Rs  9,000","Rs  7,449",,
Sound Crush Colorun Bluetooth Speaker,,"Rs  1,999",5.0,2
Portable Bluetooth Radio Speaker (GTS-1661),,"Rs  2,199",,
Portable Bluetooth Radio Speaker (KTF-1668),,"Rs  2,949",4.5,1
Extra Bass Bluetooth Wireless Speaker (GTS-1392),,"Rs  1,649",5.0,2
Extra Bass Bluetooth Wireless Speaker (GTS-1283),,"Rs  2,699",,
Extra Bass Bluetooth Wireless Speaker (GTS-1517),,"Rs  3,099",,
Portable Bluetooth Wireless Speaker (KTX-1205),,"Rs  2,849",5.0,1
Portable Bluetooth Wireless Speaker (KTS-1720),,"Rs  1,399",,
Portable Bluetooth Wireless Speaker (KTS-1093),,"Rs  1,599",,
Portable Bluetooth Wireless Speaker (KTS-1338),,"Rs  1,599",,
Portable Bluetooth Wireless Speaker (KTS-1272),,"Rs  1,649",,
Portable Bluetooth Wireless Speaker (KTS-1211),,"Rs  1,699",,
Airox Portable Bluetooth Wireless Speaker (Extreme),,"Rs  1,899",4.5,9
MI Portable Bluetooth Speaker (16W),,"Rs  11,999",5.0,6
Mi Compact Bluetooth Speaker 2,,"Rs  2,999",4.9,14
JBL Go 4 Bluetooth Speakers,,"Rs  13,499",5.0,1
Tronsmart T7 Mini Portable Speaker,,"Rs  6,149",5.0,1
Lenovo Thinkplus BT K30 Bluetooth Speaker,,"Rs  1,599",4.5,4
itel Bluetooth Speaker (S31),,"Rs  2,899",,
W-KING X10 70W Portable Bluetooth Speaker,,"Rs  36,499",,
Audionic Sugar 40 Speaker,,"Rs  4,449",4.5,2
Audionic Boom Box 102 Speaker With Mic,,"Rs  3,499",,
Faster Bluetooth Lighting Mini Gaming Speaker with Subwoofer (G1000),,"Rs  4,799",5.0,3
