name,actual price,current price,rating,reviews
OPPO Enco W51 True Wireless Headphones,"Rs  14,999","Rs  8,299",4.7,14
Realme Buds Q,"Rs  8,500","Rs  3,299",4.9,13
Audionic Airbud 500,"Rs  8,889","Rs  3,799",4.8,123
Redmi Buds 5 Earbuds,"Rs  16,000","Rs  8,299",4.6,20
Soundpeats Space Headphones ANC,"Rs  18,000","Rs  10,738",4.5,1
Dany Airdots 200 Curve Pro,"Rs  7,198","Rs  3,399",5.0,5
M90 Pro TWS Gaming Earbuds,"Rs  2,899","Rs  1,199",4.8,448
Oneplus Bullets Wireless Z2 Neckband,"Rs  8,999","Rs  7,599",,
Redmi Buds 6 Play Wireless Earbuds,"Rs  4,000","Rs  3,299",4.3,9
Soundpeats Capsule 3 Pro Plus,"Rs  23,999","Rs  15,499",4.0,1
BQ10 Wireless Earbuds,"Rs  2,000","Rs  1,349",,
Airox E3 Wireless Earbuds,"Rs  3,500","Rs  2,399",4.0,1
Zero Wave Pro Earbuds,"Rs  14,999","Rs  4,999",5.0,3
M36 TWS Wireless Earbuds,"Rs  2,800","Rs  1,199",4.5,2
M66 pro  TWS Wireless Gaming Earbuds,"Rs  2,000","Rs  1,199",5.0,1
OnePlus Bullets Wireless Z2 ANC Neckband,"Rs  9,999","Rs  8,399",5.0,1
M32 TWS Wireless Bluetooth Earbuds,"Rs  2,499","Rs  1,249",4.8,18
Ronin R-540 EarBuds,"Rs  9,399","Rs  4,449",5.0,5
Lenovo LP3 Pro TWS Earbuds,"Rs  4,500","Rs  2,949",5.0,2
BQ30 TWS Bluetooth Wireless Earbuds,"Rs  2,000","Rs  1,349",5.0,3
Airox BT007 Wireless Bluetooth Headset,"Rs  2,500","Rs  1,299",,
Soundpeats Life Lite True Wireless Earbuds,"Rs  7,000","Rs  5,499",5.0,7
Soundpeats Engine4 Wireless Earbuds,"Rs  14,000","Rs  10,518",4.6,13
Zero AURA Earbuds,"Rs  10,999","Rs  4,999",4.8,30
Audionic Signature S680 Wireless Earbuds,"Rs  9,999","Rs  3,449",4.3,5
QCY ArcBuds Lite ENC Wireless Earbuds,"Rs  5,500","Rs  3,669",4.6,6
Lenovo LP60 Wireless Earbuds,"Rs  6,500","Rs  4,999",,
Faster S5 ANC Over-Ear Wireless Headphone,"Rs  12,000","Rs  4,799",5.0,1
G-Tide L1 TWS Earbuds,"Rs  4,500","Rs  1,849",4.8,3
Lenovo XT81 True Wireless Headphones,"Rs  4,500","Rs  2,199",,
SoundPeats ClearPods EarBuds,"Rs  7,499","Rs  5,999",,
Audionic Airbud Maverick,"Rs  10,000","Rs  4,899",5.0,1
Lenovo Thinkplus Livepods XT81,"Rs  3,750","Rs  2,999",4.7,20
Haino Teko Germany Air 5 Wireless Earphone,"Rs  4,000","Rs  2,399",3.0,2
Pro 5 Tws Bluetooth Earbuds,"Rs  1,899","Rs  1,299",,
F9 Airdots Pro with Power Bank,"Rs  2,700","Rs  1,499",4.1,10
itel TWS BudsAce ANC,"Rs  12,499","Rs  4,549",4.8,2
Zero Pulse Wireless Earbuds,"Rs  8,000","Rs  4,499",4.9,5
Anker (A3994H21) Soundcore K20i Wireless Earbuds,"Rs  5,999","Rs  5,149",,
Lenovo PD1X True Wireless Earbuds,"Rs  3,500","Rs  3,099",4.7,23
Lenovo HE05 TWS Wireless Earbuds,"Rs  2,000","Rs  1,029",4.8,152
Apple AirPods Pro (2nd generation) Type C,"Rs  71,000","Rs  58,999",5.0,16
Apple AirPods 4,"Rs  95,999","Rs  40,499",5.0,1
M30 TWS Wireless Earbuds,"Rs  2,499","Rs  1,199",4.7,191
Earcuffs tws Wireless earphone,"Rs  2,500","Rs  1,599",4.7,2
P9 Wireless On-Ear Stereo Earphones,"Rs  2,884","Rs  1,119",4.0,4
Hottu Neckband NB13,"Rs  4,000","Rs  1,999",5.0,1
Airox True Wireless Earbuds OWS-4,"Rs  4,500","Rs  2,949",,
Soundpeats Air4 Wireless Earbuds,"Rs  15,000","Rs  11,824",5.0,4
QCY T18 MeloBuds,"Rs  9,500","Rs  6,599",4.5,2
Lenovo LP80 Pro Wireless Earbuds,"Rs  4,000","Rs  3,299",,
Soundpeats Clear Wireless Earbuds,"Rs  9,000","Rs  5,999",4.7,13
Soundpeats Gofree 2 Plus,"Rs  13,499","Rs  11,099",,
REMAX RB-S5 MAGNETIC SPORTY BLUETOOTH WIRELESS IN-EAR Headphone,"Rs  3,000","Rs  1,699",,
Xinji Stone M1 TWS Earbud Premium Sound,,"Rs  4,000",,
X9 True Wireless Earbuds,"Rs  2,000","Rs  1,399",,
Airox E11 Wireless Earbuds,"Rs  4,900","Rs  2,449",,
Zero Gravity Earbuds,"Rs  14,999","Rs  4,999",4.8,3
Audionic Airbud 590 Wireless Earbuds,"Rs  9,499","Rs  3,949",4.8,44
Audionic Battlebuds Wireless Earbuds,"Rs  9,999","Rs  4,499",,
JBL Tune 130NC TWS True Wireless Headphones,"Rs  21,000","Rs  16,499",,
QCY T32 AilyBuds Clear Wireless,"Rs  6,000","Rs  5,499",,
Air 33 TWS Transparent Earbuds,"Rs  3,000","Rs  1,199",4.7,2
YOLO YoPod2 EarBuds,"Rs  4,999","Rs  2,949",,
XINJI STONE M3 TWS Earbuds,,"Rs  5,499",,
Anker (A3959H11) Soundcore R50i NC,"Rs  10,000","Rs  7,149",4.8,5
Samsung Galaxy Buds 3 Pro,"Rs  69,999","Rs  49,799",4.7,6
Anker Soundcore Liberty 4 NC Earbuds,"Rs  24,000","Rs  15,799",4.9,17
Samsung Galaxy Buds 3,"Rs  45,000","Rs  32,399",5.0,1
Zero Carbon Earbuds,"Rs  14,499","Rs  4,278",4.5,10
Zero Thunder Earbuds,"Rs  7,000","Rs  3,999",5.0,1
Xinji Stone M2 Wireless Earbud,,"Rs  5,000",,
XINJI STONE M1 TWS EARBUDS,"Rs  7,000","Rs  5,299",,
JBL Wave 200TWS Wireless Earbuds,"Rs  13,000","Rs  9,499",5.0,3
Dany Airdots 110 Wireless Earbuds,"Rs  4,000","Rs  3,099",5.0,7
Airox Bluetooth Neck Band BT06,"Rs  1,500",Rs  899,4.4,7
